06-13 20:50:18.477 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:18.716 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589332, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:18.717 27331  7911 V Capacitor: callback: 72589332, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:18.726 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:18.966 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589333, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:18.967 27331  7911 V Capacitor: callback: 72589333, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:18.976 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:19.217 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589334, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:19.217 27331  7911 V Capacitor: callback: 72589334, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:19.222 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:19.466 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589335, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:19.468 27331  7911 V Capacitor: callback: 72589335, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:19.477 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:19.716 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589336, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:19.716 27331  7911 V Capacitor: callback: 72589336, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:19.724 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:19.966 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589337, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:19.967 27331  7911 V Capacitor: callback: 72589337, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:19.978 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:19.997  3250  4158 E msys    : E[N mns:DGWClient]_LogError(280)=>Failed to resolve using system DNS resolver, getaddrinfo(): No address associated with hostname
06-13 20:50:20.059  2138  2762 E HwcComposer: getLuts failed Status(-129, EX_TRANSACTION_FAILED): 'UNKNOWN_TRANSACTION: '
06-13 20:50:20.218 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589338, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:20.220 27331  7911 V Capacitor: callback: 72589338, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:20.229 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:20.311  2138  2762 E HwcComposer: getLuts failed Status(-129, EX_TRANSACTION_FAILED): 'UNKNOWN_TRANSACTION: '
06-13 20:50:20.468 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589339, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:20.468 27331  7911 V Capacitor: callback: 72589339, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:20.480 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:20.717 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589340, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:20.717 27331  7911 V Capacitor: callback: 72589340, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:20.726 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:20.967 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589341, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:20.968 27331  7911 V Capacitor: callback: 72589341, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:20.974 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:21.218 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589342, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:21.218 27331  7911 V Capacitor: callback: 72589342, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:21.225 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:21.468 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589343, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:21.469 27331  7911 V Capacitor: callback: 72589343, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:21.476 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:21.717 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589344, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:21.718 27331  7911 V Capacitor: callback: 72589344, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:21.727 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:21.966 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589345, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:21.966 27331  7911 V Capacitor: callback: 72589345, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
